FoodBank,lat,lng,positive,Postcode
St Helens food bank,53.45771605,-2.744728141,yes,WA10 2DT
St Mary's Sileby Pet food bank,52.73099003,-1.114280375,yes,LE12 7NF
St Neots food bank,52.21312162,-0.29245224,yes,PE19 8JH
St Paul's Church,53.46701345,-2.922083458,yes,L10 7LB
The Birck food bank,53.54481285,-2.630648262,yes,WN1 1LU
The Chuckery (Poultry and Livestock food bank),53.78018661,-2.369985425,yes,BB5 5TY
Ty Hapus,53.31831452,-3.82241632,yes,LL30 1HB
Walker and District food bank,54.97417112,-1.544332754,yes,NE6 3DP
Warrington food bank,53.38737596,-2.587641085,yes,WA1 2HF
Washington Community Food Project,54.8996305,-1.532564743,yes,NE38 7SD
West Cheshire food bank,53.26764162,-2.859082717,yes,CH2 4SA
West Everton Community Council,53.41689172,-2.973559928,yes,L5 3LA
Wimbledon food bank,51.41522733,-0.19593301,yes,SW19 1LA
Wirral food bank,53.40613371,-3.036422789,yes,CH41 1JW
Y Dref Werdd food bank,52.99443377,-3.935228185,yes,LL41 3ES
Burnley FC in the Community food bank,53.78855246,-2.23050365,yes,BB10 4BX
Burnley Together,53.78227057,-2.275256437,yes,BB11 5LZ
Cheshire food hub,53.26762505,-2.473603771,yes,CW9 7NS
Chorley Help The Homeless,53.65450364,-2.626000904,yes,PR6 0AA
Chroley pet food bank ,53.6501286,-2.631692454,yes,PR7 2LA
CNOS,53.69197945,-2.730923866,yes,PR26 7SN
Glossopdale food bank,53.44404175,-1.949350585,yes,SK13 8BW
High Peak food bank,53.25426444,-1.914201019,yes,SK17 6LJ
Key to Life food bank,54.96902969,-1.438260646,yes,NE34 0LZ
Littlepot independent food bank,52.45750084,0.304059102,yes,CB6 1PS
Maundy Relief,53.75311435,-2.361639968,yes,BB5 1EN
Mayhew Animal Home,51.53121413,-0.232844777,yes,NW10 6BJ
Nelson Churches food bank,53.8362615,-2.217501695,yes,BB9 7EL
Odham food bank,53.55053009,-2.088636983,yes,OL1 4ER
Pendle Food for All Food Club,53.84080581,-2.205263194,yes,BB9 8EL
Penwortham food bank,53.73464839,-2.709326642,yes,PR1 9EQ
RAFT,53.76681228,-2.65412297,yes,PR1 5TR
St Bartholmew's food bank,53.85739257,-2.170031164,yes,BB8 9BN
St Luke's Pantry,53.45334907,-2.759626429,yes,WA10 4PU
St Mark's T.A.N.G.O Pantry,53.4665145,-2.689692787,yes,WA11 0BH
St Matthew's Centre Pantry,53.43645927,-2.76453261,yes,WA10 3SE
St Philip's Nelson food bank,53.83942794,-2.206928866,yes,BB9 9XB
The Cherry tree project,53.41376129,-2.088945476,yes,SK6 4BN
The Foxton Cnetre,53.75647529,-2.694061167,yes,PR1 3SA
Urban Outreach Bolton,53.57637154,-2.423440479,yes,BL2 1DZ
Yaxley food bank,52.51179905,-0.265449013,yes,PE7 3LH
